source,destination,total
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,DQpXjo2bpK8TBzpZTJjhC7DXe5y5jnpFw7nRBfh1Kqk8,752607.6852106921
DQpXjo2bpK8TBzpZTJjhC7DXe5y5jnpFw7nRBfh1Kqk8,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,752607.685205692
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,EkjsqaxNhfj2byARD5pZR89qKm97dZknYP1TgWEUh27U,746634.074983876
EkjsqaxNhfj2byARD5pZR89qKm97dZknYP1TgWEUh27U,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,746634.074978876
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,G5916xaeiA6Aoc1fxzRsoin8G5nD6QzSmqBTFVfAngrM,744726.5417867461
G5916xaeiA6Aoc1fxzRsoin8G5nD6QzSmqBTFVfAngrM,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,744726.541781746
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,GQkUkcrNHBRca3sZik8pCmqzeFZzd7RikqynUKEaKWSH,737871.4665493318
GQkUkcrNHBRca3sZik8pCmqzeFZzd7RikqynUKEaKWSH,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,737871.466544332
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,9foCHeZdksgN3payFHyU9ZYjinY6EW4wCv9F1LjyjUKD,735692.7123973779
9foCHeZdksgN3payFHyU9ZYjinY6EW4wCv9F1LjyjUKD,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,735692.712392378
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,AbdxrST5risqoSDB76Yk6cvGJRdrHrGXxUrZ4VxZHGZU,733660.7699999998
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,DMnk9nV1FPgTBsoaPzaTbHio4mHmgUcpE3NdBZ7dT7Hh,731511.783998286
DMnk9nV1FPgTBsoaPzaTbHio4mHmgUcpE3NdBZ7dT7Hh,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,731511.783993286
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,7WVSXbUQfA5SBNvrSSrFg8diZBzvbYTmATmoitMzhb2X,720103.5481129349
7WVSXbUQfA5SBNvrSSrFg8diZBzvbYTmATmoitMzhb2X,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,720103.548107935
9ddRp3X5iAAy8MkkkpQhSopueoBRS81GQo7uLWRBixAq,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,718730.6141092
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,8ah63Pdd6Fk6V38ESvLnw8gWMAuMPrwcDU5dKXQzqtfj,718097.475743286
8ah63Pdd6Fk6V38ESvLnw8gWMAuMPrwcDU5dKXQzqtfj,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,718097.475724286
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,8eGEj2yE5d3NjRtpgTctmrLhG5i5VJujpwciSiob37Fm,711047.4195092731
8eGEj2yE5d3NjRtpgTctmrLhG5i5VJujpwciSiob37Fm,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,711047.419504273
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,JAfpBqnUtdrdZJwZDMb1a2YyqmKawLSjiH5x6JGBvy36,696766.9304784922
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,6PkJ3jyQCzm3KXSaBER9YSEh7j3ajserbGAncDwyKWa2,696766.9304784918
6PkJ3jyQCzm3KXSaBER9YSEh7j3ajserbGAncDwyKWa2,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,696766.930473492
